DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,10.0,10.0,1.446,11.0,False,1.0
44,2,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,7.0,7.0,0.765,1.0,False,2.0
63,2,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,1.0,1.0,0.0,7.0,False,3.0
55,3,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,2.0,2.0,0.044,3.0,False,4.0
11,1,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,11.0,11.0,1.139,10.0,False,5.0
16,3,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,3.0,3.0,0.19,2.0,False,6.0
4,4,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,4.0,4.0,0.392,9.0,False,7.0
14,5,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,6.0,6.0,0.701,5.0,True,8.0
31,5,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,5.0,5.0,0.641,6.0,True,9.0
5,10,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,18.0,18.0,1.896,14.0,True,10.0
18,10,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,14.0,14.0,1.76,18.0,True,11.0
10,6,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,0.0,19.0,2.15,16.0,True,12.0
24,7,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,12.0,12.0,1.196,8.0,True,13.0
47,8,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,15.0,15.0,1.825,13.0,True,14.0
3,4,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,9.0,9.0,1.002,4.0,True,15.0
20,8,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,13.0,13.0,1.448,15.0,True,16.0
23,9,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,17.0,17.0,1.879,20.0,True,17.0
6,9,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,19.0,20.0,2.193,17.0,True,18.0
22,6,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,16.0,16.0,1.863,19.0,True,19.0
77,7,2022,13,13,13,27.54491,4.03413,18.55988,26.72096,8.0,8.0,0.78,12.0,True,20.0
