DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
4,4,2024,18,62,17,0.0,0.955,30.78625,36.44562,1.0,1.0,0.0,5.0,False,1.0
1,1,2024,18,62,17,0.0,0.955,30.78625,36.44562,2.0,2.0,0.203,13.0,False,2.0
81,4,2024,18,62,17,0.0,0.955,30.78625,36.44562,5.0,5.0,0.428,1.0,False,3.0
63,2,2024,18,62,17,0.0,0.955,30.78625,36.44562,4.0,4.0,0.342,3.0,False,4.0
16,3,2024,18,62,17,0.0,0.955,30.78625,36.44562,9.0,9.0,0.222,10.0,False,5.0
44,2,2024,18,62,17,0.0,0.955,30.78625,36.44562,3.0,3.0,0.316,4.0,False,6.0
55,3,2024,18,62,17,0.0,0.955,30.78625,36.44562,10.0,10.0,0.583,9.0,False,7.0
14,10,2024,18,62,17,0.0,0.955,30.78625,36.44562,7.0,7.0,0.689,17.0,False,8.0
27,8,2024,18,62,17,0.0,0.955,30.78625,36.44562,6.0,6.0,0.59,14.0,False,9.0
11,1,2024,18,62,17,0.0,0.955,30.78625,36.44562,13.0,13.0,1.054,2.0,False,10.0
43,9,2024,18,62,17,0.0,0.955,30.78625,36.44562,12.0,12.0,0.956,11.0,False,11.0
22,6,2024,18,62,17,0.0,0.955,30.78625,36.44562,8.0,8.0,0.829,16.0,False,12.0
31,5,2024,18,62,17,0.0,0.955,30.78625,36.44562,15.0,15.0,1.244,18.0,False,13.0
18,10,2024,18,62,17,0.0,0.955,30.78625,36.44562,17.0,17.0,1.569,7.0,False,14.0
24,7,2024,18,62,17,0.0,0.955,30.78625,36.44562,20.0,20.0,2.529,19.0,False,15.0
77,7,2024,18,62,17,0.0,0.955,30.78625,36.44562,19.0,19.0,2.047,20.0,False,16.0
10,5,2024,18,62,17,0.0,0.955,30.78625,36.44562,18.0,18.0,1.787,15.0,False,17.0
3,6,2024,18,62,17,0.0,0.955,30.78625,36.44562,16.0,16.0,1.56,8.0,False,18.0
20,8,2024,18,62,17,0.0,0.955,30.78625,36.44562,14.0,14.0,1.1280000000000001,6.0,False,19.0
23,9,2024,18,62,17,0.0,0.955,30.78625,36.44562,11.0,11.0,0.949,12.0,True,20.0
