DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,Rain,WindSpeed,AirTemp,TrackTemp,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
16,3,2024,16,60,16,0.0,1.5188,33.1015,49.31128,4.0,4.0,0.134,5.0,False,1.0
81,4,2024,16,60,16,0.0,1.5188,33.1015,49.31128,2.0,2.0,0.109,1.0,False,2.0
4,4,2024,16,60,16,0.0,1.5188,33.1015,49.31128,1.0,1.0,0.0,2.0,False,3.0
55,3,2024,16,60,16,0.0,1.5188,33.1015,49.31128,5.0,5.0,0.14,4.0,False,4.0
44,2,2024,16,60,16,0.0,1.5188,33.1015,49.31128,6.0,6.0,0.186,3.0,False,5.0
1,1,2024,16,60,16,0.0,1.5188,33.1015,49.31128,7.0,7.0,0.695,8.0,False,6.0
63,2,2024,16,60,16,0.0,1.5188,33.1015,49.31128,3.0,3.0,0.113,6.0,False,7.0
11,1,2024,16,60,16,0.0,1.5188,33.1015,49.31128,8.0,8.0,0.735,7.0,False,8.0
23,9,2024,16,60,16,0.0,1.5188,33.1015,49.31128,9.0,9.0,0.972,18.0,False,9.0
20,8,2024,16,60,16,0.0,1.5188,33.1015,49.31128,13.0,13.0,1.371,10.0,False,10.0
14,10,2024,16,60,16,0.0,1.5188,33.1015,49.31128,11.0,11.0,1.094,17.0,False,11.0
43,9,2024,16,60,16,0.0,1.5188,33.1015,49.31128,18.0,18.0,1.734,9.0,False,12.0
3,6,2024,16,60,16,0.0,1.5188,33.1015,49.31128,12.0,12.0,1.152,16.0,False,13.0
31,5,2024,16,60,16,0.0,1.5188,33.1015,49.31128,15.0,15.0,1.439,14.0,False,14.0
10,5,2024,16,60,16,0.0,1.5188,33.1015,49.31128,14.0,14.0,1.411,15.0,False,15.0
77,7,2024,16,60,16,0.0,1.5188,33.1015,49.31128,19.0,19.0,1.774,20.0,False,16.0
27,8,2024,16,60,16,0.0,1.5188,33.1015,49.31128,10.0,10.0,1.012,13.0,False,17.0
24,7,2024,16,60,16,0.0,1.5188,33.1015,49.31128,20.0,20.0,2.118,19.0,False,18.0
18,10,2024,16,60,16,0.0,1.5188,33.1015,49.31128,17.0,17.0,1.686,11.0,False,19.0
22,6,2024,16,60,16,0.0,1.5188,33.1015,49.31128,16.0,16.0,1.6179999999999999,12.0,True,20.0
