DriverNumber,FullName,TeamName,Season,RoundNumber,RacesInGEEra,Location,Rain,WindSpeed,AirTemp,TrackTemp,QualifyingPos,StartingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,Max Verstappen,1,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,1.0,1.0,0.0,2.0,False,1.0
4,Lando Norris,4,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,4.0,4.0,0.505,5.0,False,2.0
11,Sergio Perez,1,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,2.0,2.0,0.322,1.0,False,3.0
16,Charles Leclerc,3,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,6.0,6.0,0.629,7.0,False,4.0
55,Carlos Sainz,3,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,7.0,7.0,0.637,6.0,False,5.0
63,George Russell,2,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,8.0,8.0,0.773,18.0,False,6.0
14,Fernando Alonso,10,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,3.0,3.0,0.488,11.0,False,7.0
81,Oscar Piastri,4,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,5.0,5.0,0.613,4.0,False,8.0
44,Lewis Hamilton,2,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,18.0,18.0,1.913,8.0,False,9.0
27,Nico Hulkenberg,8,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,9.0,9.0,0.944,17.0,False,10.0
31,Esteban Ocon,5,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,13.0,13.0,1.563,15.0,False,11.0
23,Alexander Albon,9,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,14.0,14.0,1.581,20.0,False,12.0
10,Pierre Gasly,5,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,15.0,15.0,1.803,13.0,False,13.0
24,Guanyu Zhou,7,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,16.0,16.0,1.845,10.0,False,14.0
18,Lance Stroll,10,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,11.0,11.0,1.178,3.0,False,15.0
20,Kevin Magnussen,8,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,17.0,17.0,1.8559999999999999,9.0,False,16.0
2,Logan Sargeant,9,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,20.0,20.0,2.698,14.0,False,17.0
3,Daniel Ricciardo,6,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,12.0,12.0,1.274,19.0,True,18.0
22,Yuki Tsunoda,6,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,19.0,19.0,2.086,12.0,True,19.0
77,Valtteri Bottas,7,2024,5,49,Shanghai,0.0,1.68,18.63939,29.79273,10.0,10.0,1.005,16.0,True,20.0
