DriverNumber,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
1,1,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,1.0,1.0,0.0,2.0,False,1.0
11,1,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,2.0,2.0,0.066,1.0,False,2.0
55,3,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,4.0,4.0,0.485,8.0,False,3.0
16,3,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,8.0,8.0,0.589,4.0,False,4.0
4,4,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,3.0,3.0,0.292,6.0,False,5.0
14,10,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,5.0,5.0,0.489,16.0,False,6.0
63,2,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,9.0,9.0,0.811,7.0,False,7.0
81,4,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,6.0,6.0,0.563,3.0,False,8.0
44,2,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,7.0,7.0,0.569,9.0,False,9.0
22,6,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,10.0,10.0,1.216,11.0,False,10.0
27,8,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,12.0,12.0,1.297,18.0,False,11.0
18,10,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,16.0,16.0,1.827,5.0,False,12.0
20,8,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,18.0,18.0,1.9340000000000002,12.0,False,13.0
77,7,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,13.0,13.0,1.396,20.0,False,14.0
31,5,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,15.0,15.0,1.619,17.0,False,15.0
10,5,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,17.0,17.0,1.9220000000000002,15.0,False,16.0
2,9,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,19.0,19.0,1.942,14.0,False,17.0
24,7,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,20.0,20.0,1.946,13.0,True,18.0
3,6,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,11.0,11.0,1.275,10.0,True,19.0
23,9,2024,4,48,18,0.0,0.0,7.775,18.7,61.75,14.0,14.0,1.517,19.0,True,20.0
