DriverId,TeamId,Season,RoundNumber,RacesInGEEra,LocationId,RainBefore,RainDuring,WindSpeed,ApparentTemp,RelativeHumidity,StartingPos,QualifyingPos,GapToPole,TeammateQualifyingPos,Retired,FinishingPos
24,4,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,2.0,2.0,0.085,1.0,False,1.0
15,4,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,1.0,1.0,0.0,2.0,False,2.0
1,3,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,3.0,3.0,0.338,16.0,False,3.0
19,1,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,4.0,4.0,0.341,7.0,False,4.0
4,2,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,6.0,6.0,0.698,18.0,False,5.0
13,9,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,5.0,5.0,0.639,15.0,False,6.0
3,3,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,18.0,16.0,1.377,3.0,False,7.0
25,6,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,9.0,9.0,0.766,8.0,False,8.0
30,7,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,10.0,10.0,1.825,14.0,False,9.0
20,5,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,13.0,13.0,1.071,17.0,False,10.0
26,8,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,12.0,12.0,1.055,11.0,False,11.0
17,7,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,14.0,14.0,1.145,10.0,False,12.0
8,1,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,7.0,7.0,0.722,4.0,False,13.0
12,10,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,16.0,20.0,1.94,19.0,False,14.0
7,8,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,11.0,11.0,0.963,12.0,False,15.0
32,2,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,19.0,18.0,1.577,6.0,False,16.0
9,10,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,20.0,19.0,1.823,20.0,False,17.0
2,9,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,17.0,15.0,1.196,5.0,False,18.0
27,5,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,15.0,17.0,1.46,13.0,False,19.0
31,6,2025,13,81,14,3.9,0.0,7.675000000000001,17.025,85.0,8.0,8.0,0.748,9.0,False,20.0
